pcf_id,pcf_cost,pcf_stock,ingram_id,ingram_cost,ingram_stock,intcomex_id,intcomex_cost,intcomex_stock
34077,23225.0,0.0,4475718,24.74,130.0,3JA51AL,23.8,20.0
34079,49424.0,0.0,4475724,54.19,78.0,3JA57AL,52.6,4.0
34080,40523.0,0.0,4475721,43.14,49.0,3JA54AL,41.4,20.0
34081,40456.0,0.0,4475722,42.55,85.0,3JA55AL,41.4,20.0
34087,162397.0,-2.0,4520430,169.81,1.0,C11CG96303,166.4,20.0
34110,22129.0,25.0,4883477,25.11,13.0,K39124WW,25.9,8.0
34153,12572.0,0.0,4558868,13.14,638.0,T534120-AL,13.6,20.0
34999,105928.0,0.0,4373226,110.72,8.0,DR213CL,111.6,4.0
35016,7455.0,-2.0,4512444,7.87,2793.0,1VV22AL,8.1,20.0
35077,9908.0,0.0,4532106,10.46,143.0,W1103A,11.7,20.0
35388,15436.0,1.044,4472584,17.51,8.0,K75235CL,18.6,20.0
35992,59263.0,-1.0,4213423,62.33,22.0,BV500I-MS,68.5,20.0
36084,17597.0,233.0,4799721,19.97,35.0,K75520WW,20.6,11.0
36085,19356.0,551.0,4792973,21.97,12.0,K75501WW,22.7,9.0
36088,20245.0,0.0,4181186,19.79,20.0,K62597CL,20.5,7.0
36094,25800.0,0.0,4735883,27.98,18.0,PTH110TB,31.4,2.0
36101,89225.0,0.0,4213422,87.87,25.0,BV1000I-MS,95.0,20.0
36562,11414.0,0.0,4792008,11.94,48.0,T206220-AL,11.9,12.0
36634,18997.0,9.0,4181134,18.86,44.0,K60089,20.8,20.0
37713,7709.0,353.0,3292375,8.74,10.0,K72464WW,9.1,19.0
37718,9373.0,786.0,4944995,10.66,57.0,K75353WW,10.8,20.0
38247,21375.0,256.0,5003313,24.26,41.0,K75401ES,25.7,19.0
38655,286975.0,0.0,4374455,433.83,29.0,100002242.0,419.9,18.0
38917,1459407.0,1.0,5344830,1903.3,1.0,C11CJ15201,1864.8,1.0
39127,158510.0,0.0,3021447,256.25,236.0,CF287A,286.0,20.0
39128,290000.0,0.0,3021448,349.71,24.0,CF287X,357.5,2.0
39129,97861.0,0.0,4489474,115.47,133.0,CF258A,128.2,20.0
39163,62363.0,0.0,6850410,79.33,48.0,100016388.0,66.1,20.0
40240,231576.0,0.0,4547037,244.2,4.0,BR1200SI,291.3,6.0
40525,584867.0,8.0,5137001,656.61,41.0,C11CH96303,643.4,11.0
40529,9761.0,-3.0,4888130,10.16,6279.0,3YM78AL,10.5,20.0
40531,29188.0,-1.0,4888132,30.48,311.0,3YM80AL,30.0,2.0
40532,30080.0,0.0,4888133,31.72,450.0,3YM81AL,32.4,20.0
40843,3025.0,-2.0,4789165,5.48,29.0,K33020WW,5.8,20.0
40938,22129.0,0.0,5197033,25.11,14.0,K58300WW,26.2,9.0
41115,202266.0,41.0,5680854,195.48,74.0,100-100001015BOX,203.6,10.0
41439,5491.0,1.0,4618786,6.23,4.0,K72110,6.5,20.0
41594,137915.0,3.0,4563682,144.22,11.0,B11B252201,141.0,20.0
42265,330818.0,0.0,5223287,345.96,46.0,B11B261202,342.6,20.0
42552,17165.0,0.0,5240657,17.96,183.0,T554120-AL,18.5,20.0
42553,17157.0,0.0,5240658,17.93,217.0,T555120-AL,18.5,20.0
