pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price,categoria
,5901283,Discproducer Ink PJIC7(LC) Light Cyan (M,Epson,C13S020689,29.16,9,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,368942,,32834,,34888,need_creation
,5901284,Epson Disc producer Ink Cartridge Light,Epson,C13S020690,29.16,6,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,368751,,32834,,34961,need_creation
,5901485,Discproducer Ink PJIC7(Y) Yellow (MOQ=10,Epson,C13S020692,29.16,13,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,368616,,32834,,35438,need_creation
,5901486,Epson Disc producer Ink Cartridge Black,Epson,C13S020693,29.16,19,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,368686,,36990,,36990,need_creation
,5901543,Tinta Magenta para Discproducer PP-100II,Epson,C13S020691,29.16,14,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,367089,,32834,,34920,need_creation
,5906536,HP TOP LOAD NOTEBOOK 15.6-INCH,Hp,1X645AA,18.08,1,Computadores Servidores y Notebooks,Bolsos y Mochilas p/Notebooks,,,,,,,,,,,,,,,,,need_creation
,5909123,SCANNER KIT HH492 WIRELESS 2D BLK,Honeywell,HH492-R1-1USB-5,191.94,3,Productos POS/AIDC/Código de Barras,Escáners Portátiles (handheld),,,,,,,,,,,,,,,,,need_creation
,5909613,Ink Tank 130 ml PFI-121 Magenta,Canon,6267C001,67.02,5,Suministros y Medios,Suministros para Plotters,,,,,,,,,,,,260348,,73938,,73938,need_creation
,5909614,TINTA 55ML PFI-031 MAGENTA,Canon,6265C001,37.44,7,Suministros y Medios,Suministros para Plotters,,,,,,,,,,,,260925,,41303,,55646,need_creation
,5909615,Tanque de tinta 300 ml PFI-321 Magenta,Canon,6269C001,114.08,9,Suministros y Medios,Suministros para Plotters,,,,,,,,,,,,278672,,130990,,130990,need_creation
,5915075,Tinta HP DesignJet Plotter 300-ml Negro,Hp,498N8A,156.15,1,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,261554,,173618,,197062,need_creation
,5915079,Tinta HP DesignJet Plotter 300-ml Cyan,Hp,676M6A,156.25,61,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259861,,173727,,193291,need_creation
,5915080,Tinta HP DesignJet Plotter 300-ml Magent,Hp,676M7A,156.35,46,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,262912,,173835,,195105,need_creation
,5915081,Tinta HP DesignJet Plotter 300-ml Amaril,Hp,676M8A,156.33,63,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259860,,173814,,195578,need_creation
,5916016,PROFIT ERGO TB450 TRACKBALL F PROFIT ERG,Kensington,K72194WW,29.45,2,Equipamiento de Oficina,"Mousepads, Apoyamuñecas y Descanso",,,,,,,,,,,,237677,39990,33800,,37053,need_creation
,5916062,BLACK SCAN HH490-R1 USB KIT W STAND 1D P,Honeywell,HH490-R1-1USB-1-N,137.87,11,Cámaras y Escáners,Escáners Manuales,,,,,,,,,,,,,,,,,need_creation
,5916676,AC POWER SUPPLY 12V 30W 1 35 X 3 5MM VI,Honeywell,3011-8248-001,51.27,7,Componentes de Sistema,Fuentes de Poder para Computadores Espec,,,,,,,,,,,,,,,,,need_creation
,5923756,POLY STUDIO X70 OPTIONAL TABLE STAND,Poly,875L3AA,107.0,4,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,,,,,,,,,,,,,need_creation
,5925537,MFCL3760CDW Colour Laser AllinOne,Brother,MFCL3760CDW,511.81,8,Impresoras,Impresoras Láser/LED color,,,,,,,,,,,,228518,,489890,,569795,need_creation
,5929933,SSD X9 PRO 4000GB 4TB EXTERNAL PORTABLE,Crucial,CT4000X9PROSSD9,489.12,33,Dispositivos de Almacenamiento,Discos de Estado Sólido SATA (SSD),,,,,,,,,,,,233567,,447900,,521546,need_creation
,5931566,CLUTCH GLADIATE RGB GAMING CONTROLLER,Hp,7D6H2AA,34.88,272,Video Juegos y Consolas,Gamepads,,,,,,,,,,,,,,,,,need_creation
,5934625,CATALYST 9200L 24 PORT POE 4 X 1G,Cisco,C9200L-24P-4G-E,2218.2,3,Dispositivos de Red,Switches Estaqueables,,,,,,,,,,,,380632,,2461900,,2477568,need_creation
,5937830,PC42E-T USB Ethernet 200dpi Black 1 and,Honeywell,PC42E-TB02200,271.75,32,Impresoras,Impresoras de Etiquetas Código de Barras,,,,,,,,,,,,,,,,,need_creation
,5941501,CABLE DE EXTENSION DE 3M,Startech.Com,H1415-10F-POWER-CORD,22.36,27,Cables,Cables de Poder,,,,,,,,,,,,,,,,,need_creation
,5943025,HPE ML110 GEN11 LFF PCIE CBL KIT,Hewlett Packard Enterprise,P53484-B21,77.6,1,Computadores Servidores y Notebooks,Componentes Blade,,,,,,,,,,,,,,,,,need_creation
,5978369,ECOTANK L3560 MULTIFUNCTIONAL PRINTER,Epson,C11CK58302,206.69,98,Impresoras,Impresoras de Inyección de Tinta,,,,,,,,,,,,223197,,178900,197990,219937,need_creation
,5984204,POLY TC8 TOUCH CONTROLLER US,Poly,875J0AA#ABA,573.72,1,Comunicaciones,Equipamiento de Conferencia Web,,,,,,,,,,,,,,,,,need_creation
,6076847,2.5IN 2.4TB 10K SAS 12GB HS 512E HDD V2,Lenovo,4XB7A83970,904.0,1,Dispositivos de Almacenamiento,Discos Duros SAS (Serial Attached SCSI),,,,,,,,,,,,249456,,1002900,,1020445,need_creation
,6077317,HPE NW ION AP (RW) AP22D,Hewlett Packard Enterprise,S1U76A,113.53,4,Dispositivos de Red,Access Points (AP) inalámbricos,,,,,,,,,,,,386767,,,,,need_creation
,6086945,LA XNO C6083 LA XNO C6083R 2MP IR BULLET,Hanwha Techwin,XNO-C6083R,736.82,2,Seguridad Física,Cámaras de Vigilancia en Red,,,,,,,,,,,,375270,,828818,,828818,need_creation
,6113898,TONER CYAN XL TN219XLC 2300PG,Brother,TN219XLC,76.47,22,Suministros y Medios,Suministros Láser,,,,,,,,,,,,259724,,84998,,95788,need_creation
,6113899,TONER MAGENTA XL TN219XLM 2300PG,Brother,TN219XLM,76.47,34,Suministros y Medios,Suministros Láser,,,,,,,,,,,,259725,,72900,,94684,need_creation
,6119109,GPR 58 DRUM UNIT MAGENTA,Canon,2188C003,240.78,7,Suministros y Medios,Suministros Láser,,,,,,,,,,,,,,,,,need_creation
,6119110,GPR 58 DRUM UNIT YELLOW,Canon,2189C003,232.9,2,Suministros y Medios,Suministros Láser,,,,,,,,,,,,,,,,,need_creation
