pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,solotodo_id,pcf_price,min_price,mode_price,mean_price
,5931566,CLUTCH GLADIATE RGB GAMING CONTROLLER,Hp,7D6H2AA,34.88,142,Video Juegos y Consolas,Gamepads,,,,,
,5937830,PC42E-T USB Ethernet 200dpi Black 1 and,Honeywell,PC42E-TB02200,290.76,10,Impresoras,Impresoras de Etiquetas Código de Barras,,,,,
,5943025,HPE ML110 GEN11 LFF PCIE CBL KIT,Hewlett Packard Enterprise,P53484-B21,77.6,1,Computadores Servidores y Notebooks,Componentes Blade,,,,,
,6044102,AURICULARES USB-C POLY VOYAGER SURROUND,Hp,8G7T8AA,301.67,3,Comunicaciones,Auriculares Bluetooth,264538,,336158,,385050
,6076847,2.5IN 2.4TB 10K SAS 12GB HS 512E HDD V2,Lenovo,4XB7A83970,904.0,1,Dispositivos de Almacenamiento,Discos Duros SAS (Serial Attached SCSI),249456,,1048900,,1065470
,6113898,TONER CYAN XL TN219XLC 2300PG,Brother,TN219XLC,71.46,20,Suministros y Medios,Suministros Láser,259724,,84998,,89458
,6113899,TONER MAGENTA XL TN219XLM 2300PG,Brother,TN219XLM,71.46,51,Suministros y Medios,Suministros Láser,259725,,72900,,88514
,6113900,TONER AMARILLO XL TN219XLY 2300PG,Brother,TN219XLY,71.46,63,Suministros y Medios,Suministros Láser,259727,,84990,,89054
,6119109,GPR 58 DRUM UNIT MAGENTA,Canon,2188C003,228.58,4,Suministros y Medios,Suministros Láser,,,,,
,6123824,T01D300 MAGENTA WF-C579R 20.000 PAG,Epson,T01D300,126.31,4,Suministros y Medios,Suministros Inyección de Tinta,259969,,148754,,152896
,6123846,T02Q HIGH-CAP BLACK INK CARTRIDGE,Epson,T02Q120,196.48,2,Suministros y Medios,Suministros Inyección de Tinta,263300,,230864,,232324
,6123847,T02Q HIGH-CAP CYAN INK CARTRIDGE,Epson,T02Q220,318.57,5,Suministros y Medios,Suministros Inyección de Tinta,263301,,366443,,378711
,6123848,T02Q HIGH-CAP MAGENTA INK CARTRIDGE,Epson,T02Q320,318.57,1,Suministros y Medios,Suministros Inyección de Tinta,263298,,366443,,378711
,6123849,T02Q HIGH-CAP YELLOW INK CARTRIDGE,Epson,T02Q420,318.57,5,Suministros y Medios,Suministros Inyección de Tinta,263299,,366443,,376830
,6124412,PENCIL USB-C-AME,Apple,MUWA3AM/A,76.41,1,Comunicaciones,Punteros/Stylus,,,,,
,6128461,SD4842P USB-C ECO TRIPLE VIDEO DOCK,Kensington,K32810EU,156.69,5,Computadores Servidores y Notebooks,Dockings y Pedestales p/Notebooks,,,,,
,6128998,Cable Adaptador USB a Serie RS232 de 1m,Startech.Com,1P3FFCB-USB-SERIAL,47.19,15,Cables,Cables y Adaptadores USB,,,,,
,6136773,DS-C330,Epson,B11B272201,276.66,1,Cámaras y Escáners,Escáners para el Hogar/Oficina,,,,,
,6143433,HPE Networking Instant ON AP32 (RW),Hewlett Packard Enterprise,S1T23A,244.09,1,Dispositivos de Red,Access Points (AP) inalámbricos,383314,,287858,,295712
,6145358,"Hub USB-C de 3 Puertos - 2,5GbE -PD",Startech.Com,10G2A1C25EPD-USB-HUB,67.74,10,Dispositivos de Entrada/Salida,Dispositivos de Conectividad USB,,,,,
,6145370,Adaptador Serie USB a RS232 de 3m,Startech.Com,1P10FFC-USB-SERIAL,57.3,10,Cables,Cables Seriales y Adaptadores,,,,,
,6150080,POLY STUDIO USB VESA MOUNT,Poly,875R9AA,129.42,9,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,6150503,Filtro de Privacidad para Portatil 13in,Startech.Com,13MAM-PRIVACY-SCREEN,49.56,30,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,6150815,Filtro de Privacidad 14in 16:10 Tactil,Startech.Com,14LT6-PRIVACY-SCREEN,51.1,30,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,6150818,Filtro de Privacidad 14in 16:9 Tactil,Startech.Com,14LT-PRIVACY-SCREEN,49.64,30,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,6150822,Cable de Carga USB-C de 1m - PD 60W,Startech.Com,USB2CC1MNC,5.91,10,Protección Eléctrica y Racks,Cables UPS,,,,,
,6157215,HPE DL20 Gen11 2LFF/4SFF OCP Cbl Kit,Hewlett Packard Enterprise,P65412-B21,57.7,1,Cables,Cables Seriales y Adaptadores,,,,,
,6157669,Lector USB 3.0 de Tarjetas de Memoria,Startech.Com,FCREADMICRO3V2,26.03,20,Dispositivos de Almacenamiento,Lectores Flash,,,,,
,6178967,POLY TRIO C60 POWER SUPPLY WITH POWER C,Poly,85X03AA#ABA,81.82,1,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,6187223,LIGHTNING TO USB CABLE 1 M-AME,Apple,MUQW3AM/A,15.81,177,Comunicaciones,Cables y Adapt p/celulares (NO ENERGÍA),,,,,
,6196686,HP 222A NEGRO LASERJET TONER CARTRIDGE,Hp,W2220A,57.41,103,Suministros y Medios,Suministros Inyección de Tinta,388632,,313078,,313078
,6196688,HP 222A CYN LASERJET TONER CARTRIDGE,Hp,W2221A,67.92,58,Suministros y Medios,Suministros Inyección de Tinta,388632,,313078,,313078
,6196690,HP 222A AMARILL LASERJET TONER CARTRIDGE,Hp,W2222A,67.92,50,Suministros y Medios,Suministros Láser,388632,,313078,,313078
,6196692,HP 222A ROJO LASERJET TONER CARTRIDGE,Hp,W2223A,67.93,32,Suministros y Medios,Suministros Inyección de Tinta,388632,,313078,,313078
,6199357,imagePROGRAF TM 340 - 36,Canon,6248C002,1460.7,5,Impresoras,Plotters color,239890,,1699990,,1771175
,6203948,HPE Aruba Networking 10G SR SFP+ LC 400m,Hewlett Packard Enterprise,S2P30A,436.57,13,Dispositivos de Red,Transceivers,,,,,
,6205170,USB KIT 1D BLACK SCANNER 1250G-2 FLEX,Honeywell,1250G-2USB-1-N,82.48,40,Productos POS/AIDC/Código de Barras,Accesorios para Escáners Código de Barra,,,,,
,6213296,SINGLE CLICKSHARE TRAY,Barco,R9861500T01,64.11,4,Comunicaciones,Componentes de Audio Conferencia,,,,,
,6215741,Compact Scanner,Brother,ADS1300,254.98,7,Cámaras y Escáners,Escáners para el Hogar/Oficina,,,,,
,6219531,T12C120-AL TINTA EPSON WF-M5399,Epson,T12C120-AL,127.32,40,Suministros y Medios,Suministros Inyección de Tinta,270675,,143990,,151850
,6221089,CR1100CKA-GJ0250 N4500 64G 4G 11 CHROME,Asus,90NX03V1-M008J0,287.11,1,Computadores Servidores y Notebooks,Chromebooks & Netbooks,359933,,347900,,353531
,6227909,ULTRACHROME HD FOTO NG CART INK 700 ML,Epson,T55K100,192.05,4,Suministros y Medios,Suministros Inyección de Tinta,259919,,227966,,234040
,6227946,ULTRACHROME HDX NARANJA CART INK 700 ML,Epson,T55KA00,192.05,1,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,6227947,ULTRACHROME HDX VIOLETA CART INK 700 ML,Epson,T55KD00,192.05,1,Suministros y Medios,Suministros Inyección de Tinta,266745,,218870,,228666
,6227949,ULTRACHROME HDX VERDE CART INK 700 ML,Epson,T55KB00,192.05,1,Suministros y Medios,Suministros Inyección de Tinta,270773,,227966,,233565
,6228836,PC42E-T POWER CORD 1 5M US,Honeywell,3013-1453-001,5.91,9,Productos POS/AIDC/Código de Barras,Accesorios para Terminales Móviles AIDC,,,,,
,6235404,POLY STUDIO X30 TABLE STAND,Poly,875L5AA,41.07,8,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,6235428,POLY STUDIO X30 INVERTED VESA AND WALL M,Poly,875L7AA,122.84,4,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,6235555,POLY STUDIO X70 TABLE STAND,Poly,875L3AA,106.68,4,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,6255343,KIT DE MANTENCION C12C937201 AM-C400/AM-,Epson,C12C937201,41.6,21,Suministros y Medios,Suministros Inyección de Tinta,,,,,
