pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider
55264,nan,"HPE - SSD - 480 GB - hot-swap - 2.5"" SFF - SATA 6Gb/s - Multi Vendor - para ProLiant DL20 Gen10 Plus, DL325 Gen10 Plus, DL360 Gen10 Plus, DL385 Gen10 Plus, ML30 Gen10 Plus",nan,P40502-B21,467.4,2,nan,Physical,ok,True,1,8,8,Disco Server HPE 480GB SATA MU SFF BC MV SSD,0,0,False,{},,ingram
55244,nan,"HPE Mixed Use - SSD - 1.92 TB - hot-swap - 2.5"" SFF - SATA 6Gb/s - Multi Vendor - con HPE Basic Carrier - para ProLiant DL20 Gen10 Plus, DL325 Gen10 Plus, DL360 Gen10 Plus, DL385 Gen10 Plus, ML30 Gen10 Plus",nan,P40504-B21,2449.1,15,nan,Physical,ok,True,1,24,24,Disco Server HPE 1.92TB SATA MU SFF BC MV SSD,0,0,False,{},,ingram
41594,nan,Epson WorkForce ES-50 - Escáner de documentos - Portátil - USB 2.0 - USB 2.0 - 216 x 1828.8 mm - 1200 dpi x 600 dpi,nan,B11B252201,153.0,4,nan,Physical,ok,True,1,3,3,Escaner Portátil  WorkForce ES-50,0,0,False,{},,ingram
55803,nan,Lenovo - Headset - Para Professional audio / Para Conference / Para Cellular phone / Para Computer - Wired,nan,4XD1R88995,42.0,20,nan,Physical,ok,True,1,20,20,Lenovo Wired VoIP Headset 5000 (Teams),0,0,False,{},,ingram
55305,nan,"Samsung LS27FM501ELXZS - 27"" - 1920 x 1080 - VA - USB / HDMI - White - 60Hz",nan,LS27FM501ELXZS,164.4,20,nan,Physical,ok,True,1,20,20,"Monitor Smart Samsung 27"", FHD, 60Hz , VA, 4ms, HDR, LS27FM501ELXZS",0,0,False,{},,
55828,nan,"Lenovo ThinkVision - LCD monitor - 27"" - 1920 x 1080 - IPS - HDMI / DisplayPort / VGA - Black",nan,64BCMAR4CL,107.7,20,nan,Physical,ok,True,1,1,1,"Monitor Lenovo Thinkvision 27""  E27-40",0,0,False,{},,ingram
56870,nan,"Viewsonic - VA220A-H 22""VA Full HD 120HZ 1",nan,VA220A-H,59.1,20,nan,Physical,ok,True,1,100,+100,"Monitor Viewsonic 22"" FHD, 120Hz, VA, 1ms, VA220A-H",0,0,False,{},,ingram
56660,nan,HP - Notebook - Intel Core Ultra 9 285H / 4.5 GHz - 32 GB - DDR5 SDRAM - SSD - NVIDIA RTX PRO 1000,nan,D5HK2LT#ABM,3399.3,15,nan,Physical,ok,True,1,15,15,"Notebook Zbook X Ultra 9-285H 16"" 60Hz 32GB 1TB SSD Windows 11 Pro D5HK2LT",0,0,False,{},,ingram
55808,nan,"Lenovo ThinkPad E16 - Notebook - 15.6"" - 1980 x 1080 LCD - Intel Core Ultra 5 U5-225U / 2.5 GHz - 16 GB - DDR5 SDRAM - 512 GB SSD - None - Intel HD Graphics - Windows 11 Pro - Black - Spanish - 1-year warranty",nan,21SS000LCL,1037.4,20,nan,Physical,ok,True,1,20,20,"Notebook ThinkPad E16 Gen3 Intel Ultra 5-225U 16"" 16GB 512GB SSD Windows 11 Pro 21SS000LCL",0,0,False,{},,ingram
56820,nan,"ASUS - Notebook - 14"" - 1920 x 1200 - AMD Ryzen AI 7 350 / 5.0 GHz - 16 GB - DDR5 SDRAM - 512 GB SSD - AMD Radeon - Windows 11 Pro",nan,90NX0971-M00H10,952.94,20,nan,Physical,ok,True,1,50,+50,"Notebook ExpertBook P3 Ryzen AI 7 350 14"" 16GB RAM 512GB SSD Windows 11 Pro",0,0,False,{},,ingram
